Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,Images
2,FiFi,2,264,0,1,6,7,0,1,3,3,3,3,1,1,0,41401,93dfc7e5d65f9772958c411eb3a8b53f,0,"***Urgent!!! Kittens looking for forever home! Currently I keep the kittens in Cage and put at my neighbor Car Porch as my parents are not allowed me to keeping the Cat. I couldn’t keep them for too long as lately my neighbor starting complained. Please help to share this urgently. Adoption fee: Free Spaying deposit: RM (fully refundable) A neutering deposit of RM needed for adoption. Once neutering was done and proof to me, the deposit will be fully refund. The neutering surgery must be done IN /BEFORE November or else it would not be refund. Interested parties, please contact me at. Cheras Shamelin Area. Name : Fifi (Male) Age : 2-3months",a6c985a00,5.0,0,images/a6c985a00-1.jpg
2,Windy,2,292,252,1,2,5,7,1,1,2,2,2,1,1,0,41401,2181fc2a61447996c1e5cee02738b5c3,0,"*** Looking for someone who really love and adore cats....And someone can share their love and spare a time for him *** *** Own Pick up / Collection : Call to make arrangement *** *** Must adopt 2 of them, for them to play together *** Interested Please Call : (Emy)",3316a5619,1.0,0,images/3316a5619-1.jpg
2,(No Name - She Is Just A Stray),4,298,0,2,4,5,7,1,1,2,2,2,2,1,0,41401,45d7d1d5298837ceeba14bb268a207d1,0,"She is just a stray.. Anyone who love cat can bring her back immediately.. I can't keep a cat because I do already have 3 dogs with me. This little poor darling just walk into my shop and ask for help, I found that she had already lost an eye ball, could be injured after a fight. she is quite good girl and quiet here, never giving any trouble... Please do call me immediately at to help her. ** I knew that I could be wrong selected the breed type but I can't find any Mix breed listed, because I don't know her breed, she is juat a stray*",80bee180a,2.0,0,images/80bee180a-1.jpg
1,YUMI,5,307,0,2,1,2,7,2,2,1,1,2,1,1,150,41327,9153070cde2f487d2ab65e0bd114eb1d,1,"YUMI is a approx 5 month old little angel, she is sweet and playful, she likes to play with human, she will be a seed of happiness of one of your family as long as you will love her as your family. once she reach sixth month she will be neutered adopt, dont buy they love you more than they love themselves",86629a3ee,2.0,0,images/86629a3ee-1.jpg
1,Roxy,21,189,307,2,2,5,7,2,1,2,2,2,1,1,0,41326,81ac1b71c81d81aae2f8eb1bd9d4b4ba,0,Loving playful intelligent,b593502c5,1.0,0,images/b593502c5-1.jpg
1,3 Male Black Pups,2,307,0,1,1,0,0,2,1,2,2,2,1,3,0,41326,5788b8639ed178795510a8cbe72ccc28,0,These pups have been adopted. Profile created for voucher redemption,435bb3995,1.0,0,images/435bb3995-1.jpg
1,â¥Billyâ¥,12,307,0,1,2,7,0,2,1,2,1,2,1,1,0,41326,8d413d99d41394f70d5c590253f80f54,0,☆♥Billy☆♥ ☆♥Adopted By A Old Indian Lady From Subang Jaya☆♥ ☆♥Sorry For Creating This PetProfile For Such A Long Time Ago...☆♥ ☆♥This Dog Was Adopted Since .☆♥ ☆♥It Was Released Since He Was 7 Months Old.☆♥,2cf927db8,2.0,0,images/2cf927db8-1.jpg
1,Waiting For You To Give Him A Name,2,307,307,1,2,5,7,2,2,3,3,2,1,1,0,41326,05fabcd5da274c0b654a575430d6a14b,0,was been rescued from a garbage bin this evening 13/7 8.30pm at taman sungai besi. the puppy is health and very playful too. i am not sure if the puppy been vaccinated or not. he really need a good home now.. Please give him a home and he really need someone to love him :(,6c61c33ee,4.0,0,images/6c61c33ee-1.jpg
1,Angel,2,307,0,3,1,2,7,2,2,1,1,3,1,3,10,41326,33b1f399cd97a176468d683cc717e7ea,3,"3 rescued puppies are ready for re-home. Mix breed of Shepherd and pit bull, adorable and playful. Able to make you stress-relieved.",172305d1b,4.0,0,images/172305d1b-1.jpg
2,Sleepy,4,264,0,1,1,2,0,1,3,2,1,2,1,1,0,41326,a5e9f5ec3cbea93ada433c3af8ffa6c0,0,"This is Sleepy, but the name can be change. Called him sleepy because his activity is more to sleep than play around. He is siblings to O & B. Sleepy is not-so-activ kind of kitty, he is layback kitty & very obedient one (eat & sleep at his own place). Please adopt him, thank you. *Sleepy is no longer available for adoption. Thank you mister for adopting lil Sleepy😸",416cb5d6d,4.0,0,images/416cb5d6d-1.jpg
2,Neyo,29,251,285,1,4,5,0,2,2,1,1,2,1,1,70,41326,db5cd819dc1df7f26e2b8fbb1878847f,0,"Neyo rescued by me n wife three weeks ago. Found near my office in a drain. We urgely sent him for full vaccinated and deworm and cleaned. He is very calm and gentle but a little bit afraid of new surroundings but improved after time. We already have two kittens in possession, both males and unfortunately one out of two feel envious with Neyo and always try to scratch Neyo. Luckily Neyo is not type of picking a fight. So we need a terrace house adopter as we believed Neyo loves large spaces and it is better if new adopter have no cat/cool and calm cat at home. Please call. Kindly no SMS. We are willing to send him to new adopter if nearby. RM70 fee is actually not for vaccinated and deworm fee but for cat foods.",9c95b7659,3.0,0,images/9c95b7659-1.jpg
2,2 Months Kitten For Adoption,2,266,0,1,1,6,0,1,1,2,2,2,1,1,0,41326,eb18f4599bd79a7c9ee4cec4156e1888,1,2 mths cat available for adoption contact : (sms/whatsapp only),b5f846518,4.0,0,images/b5f846518-1.jpg
2,Natasha Bella Kinski,24,292,266,2,7,0,0,1,1,1,1,1,1,1,120,41336,74f948f57b5ac2ac0ae60fe0b0076ea7,1,"Natasha and 3 babies were once abandoned and rescued. Adoption Fee is basically the spay cost. Prefer that Natasha be adopted with her 3 kittens as they are very attached. Natasha love to be carried and affectionate. Prefer adopter with no other pets at home to accommodate Natasha & kittens. Adopter must promise never to abandon and neuter & spay the kittens in due course to prevent unwanted pregnancies to Ariana Rose Kinski, the only female kitten.",c943ed53a,8.0,0,images/c943ed53a-1.jpg
2,Meme,1,292,266,2,2,5,0,1,1,2,1,2,1,1,160,41326,81dac8544a05c9fdc6cdb84c97710631,0,Stray kitten. Very engaging and playful. Is independent and smart. Answers to her name. Can get along with other cats. But if you have bigger cats.. needs to be mindful Reason for adoption: My existing bigger cat bullies her. I have to keep her in a cage. Has been to dewormed but too small to be vaccinated. Needs to put on a bit of weight..very healthy and eats kibbles.,e994888f3,5.0,0,images/e994888f3-1.jpg
2,May,3,266,0,1,1,7,0,2,2,2,1,2,1,1,0,41326,b10b914adfa88af95c4af8c0a5c651a2,0,"Hai, saya ada sekor kucing untuk di adopt.. kucing ni dalam keadaan sihat dan aktif.. suka bermain dan litter box train.. saya mencari tuan baru yang betul2 sayangkan kucing untuk di bela dalam rumah.. boleh wasap saya untuk lihat gambar2 yang lain.. Note : saya tak sure sama ada kucing ni baka biasa atau baka benggal",c64f86015,1.0,0,images/c64f86015-1.jpg
2,Breezy,2,292,252,1,2,5,7,1,1,2,2,2,1,1,0,41401,2181fc2a61447996c1e5cee02738b5c3,0,"*** Looking for someone who really love and adore cats....And someone can share their love and spare a time for him *** *** Own Pick Up / Collection : Call To Make Arrangement *** *** Must adopt 2 of Them, for them to play together *** Interested Please Call : (Emy)",c4718084c,3.0,0,images/c4718084c-1.jpg
2,,1,266,0,3,1,2,6,2,1,2,2,3,1,5,0,41401,8483f2783ef3cffdfcf63427c844e937,0,"The kittens were found around our hostel and motherless. Despite being healthy due to the given food by students, we are very scared of how the survival of these kittens as there will be high chances of getting them being dump at the market as reffered to our wardens. Please help us since we are able to take care of them since we are living in the hostel. We will give the litter and some food that we already bought with no extra charge. Please help us and help them. Please do whatsapp/IM my number instead of calling and messaging.",b9314a12d,5.0,0,images/b9314a12d-1.jpg
2,Tiger,2,266,0,2,2,0,0,1,1,3,3,3,1,1,0,41401,93dfc7e5d65f9772958c411eb3a8b53f,0,"***Urgent!!! Kittens looking for forever home! Currently I keep the kittens in Cage and put at my neighbor Car Porch as my parents are not allowed me to keeping the Cat. I couldn’t keep them for too long as lately my neighbor starting complained. Please help to share this urgently. Adoption fee: Free Spaying deposit: RM (fully refundable) A neutering deposit of RM needed for adoption. Once neutering was done and proof to me, the deposit will be fully refund. The neutering surgery must be done IN /BEFORE November or else it would not be refund. Interested parties, please contact me at. Cheras Shamelin Area. Name : Tiger (FeMale) Age : 2-3months",5da236a17,5.0,0,images/5da236a17-1.jpg
2,MILO,2,265,0,1,2,0,0,3,2,2,1,3,1,1,0,41326,167119eeb94dec6c615c602952c527c8,0,MILO jantan yang comel dan kuat makan.,669a5865f,2.0,0,images/669a5865f-1.jpg
2,"White Kittens, Eeny, Meeny ,Mino,mo",2,266,0,3,5,7,0,3,1,2,1,2,1,4,10,41401,40591c812b0a95d858a2711efff8f6c7,0,"Ernie,meanie ,Mino and mo are looking for forever home with a big yard or big Hall,for them to run around and play. The new mommy or daddy should be able to care for at least two kittens. I prefer if you can adopt two at once. All white kittens. One kitten (female)has some cream patches with greyish eyes. Two kittens ,one male and one female all white and blue eyes. The last kitten,male all white with grey eyes. (I'm not charging fees). I simply put a value so I could attract serious adopters.",38a7b1842,3.0,0,images/38a7b1842-1.jpg
1,Cute Puppies For Adopt,1,307,307,3,1,2,0,2,3,2,2,2,1,2,0,41326,3e780ba73e28233e9abecfaa4ce3af69,1,"They are two pet for adoptions, long fur are male and short fur are female, booth are toilet train. Please contact me if you are interesting to adopt",982564925,5.0,0,images/982564925-1.jpg
2,Whisker,1,266,0,1,6,7,0,2,1,2,2,2,1,1,0,41401,61d1c454e12151f0c56efd60c715bf03,0,"We found the kitten hide behind the air-con compressor in one rainy saturday morning on our balcony, the cat mommie might have forgotten her kitten was left behind.",390689a38,1.0,0,images/390689a38-1.jpg
1,Aveda Bow,2,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,Lovely puppy looking for home. Commitment to spay is compulsory. Interested to adopt pls contact Rachel,63df28877,1.0,0,images/63df28877-1.jpg
2,Whitey,3,266,0,2,6,7,0,1,2,2,1,2,1,1,0,41332,c615548c8536989d6ff41c0428b59496,0,She was adopted last week,69f8a53c8,1.0,0,images/69f8a53c8-1.jpg
1,Sofie,72,205,205,2,5,6,7,2,3,3,3,2,2,1,0,41401,27083c7f0a040994ca84395f4b17d80b,0,"Sofie was found at the ground floor of apartment block .according to security guard ,she was there from morning to night and nobody claim her back . Cleaner said she had been put in the garbage room. After took her back , realised she was pee with lil bleed. Brought her to vet the next day, doctor claimed that she has skin allergy. she need to apply eye drops daily since she has dry eyes. She lost 2 teeth ,not sure about her age. Doctor checked her paws (refer to photo) , maybe the result of long term in cage. Sofie is a friendly ad loving dog. Suspected been abandoned by owner. We see sadness in her eyes. She need a responsible owner which accept her age, her sickness , her imperfect , to let her stay with you for the rest of her life. We hope that new owner could bring her to spay.",a0c15424b,6.0,0,images/a0c15424b-1.jpg
1,Lab Mix 3,2,307,141,2,2,0,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,"Same puppy as previous posting. This posting is to facilitate the adopter to be entitled for the starter pack, cos posting in a group only entitles one adopter.",6097a5c1d,0.0,0,images/6097a5c1d-1.jpg
2,B&w + Tiny Bit Of Ginger Kittens,2,266,0,3,1,2,7,2,1,2,2,2,1,2,0,41326,2922723f8889855551615e8d22f1e0b4,0,Stray kittens from a tame mama stray cat who gave birth to them in our office factory. Looking for a sincere cat owner who wants to have a cat companion(s) who will love it and care for it. :) They were born on 19th Aug. Characteristics of the kittens: Black and White (M) - shy around people and siblings. Will usually eat last as a group and is tame and gentle. Black and Ginger (F) - shy around people and loves to be scratched/petted. Will purr when held.,092a37bcf,6.0,0,images/092a37bcf-1.jpg
2,Silka,18,266,0,2,6,0,0,1,1,1,3,1,1,1,30,41324,8e554ad58cf9b09b732e8fcbbe6dbf34,0,Her name is Silka. I adopted her when I went to pet world malaysia at Mid Valley the other day. She got my attention when I came and pick her up and being so active! She's my happines now with my husband. She's so healthy and active! She always run here and there when I was at home and also sleep with me. So sweet of her. Loves Silka.,b26fcffaf,2.0,0,images/b26fcffaf-1.jpg
1,Fi Fi,1,307,0,2,2,7,0,3,1,2,2,2,1,1,0,41326,d48a5724005068359e4af9f67c035df0,0,"For serious adopters only. Free adoption for a mixed breed female pup. She is a quiet and lovely pup. Sire is a Dalmatian and mom is a mongrel . The mon give birth for 5 pups , four adopted , left the female pup only. She will be a big size dog when full grown. Vaccinations and neutering/spaying at 6 months of age are needed . Please give her a home . Please SMS to me only .",96b7978d2,5.0,0,images/96b7978d2-1.jpg
1,Bobo,12,307,0,1,1,2,6,1,2,3,3,3,1,1,0,41326,48fbe870591c573498fb62498dea7307,0,"A male dog, sorry don't know what breed it is. About 1 year old. Need some caring people for adoption because my mom getting old to take care of him. Really appreciate if someone can adopt it.",bf458a7d4,5.0,0,images/bf458a7d4-1.jpg
1,Boy,36,61,207,1,1,3,7,1,2,1,1,1,1,1,0,41326,a70b02201c3b688f664fec4507aabe8c,0,"Dec/ Adopted, Kuala Lumpur area",4199f1957,1.0,0,images/4199f1957-1.jpg
2,Peanut & Butter,27,265,265,1,6,7,0,2,2,1,1,1,1,2,0,41326,464b7d209d75dd9933599f7580704cbc,0,We adopted these 2 cats through Petfinder 2 years ago. Both male and are brothers. I was told that the father is a Maine Coon Mix which is why they are slighly larger and have slightly longer fur. Would like a find them a happy home as we are moving very soon and will not be able to care for them any longer. Both cats are healthy. Annual vaccine and deworm. Both neutered.,885b7eb9b,5.0,0,images/885b7eb9b-1.jpg
2,Gingerku,24,285,0,1,3,4,5,3,3,3,3,3,1,1,0,41401,efaa8c2521bf4c506b9542f84c84f9af,0,"i found ginger 2 month ago,, i tried to look for the owner but i couldnt find it,, i really love ginger but i couldnt keep him with me because i always going outstation,, i really looking for the people who want to take care of him and trully love him,, i really need the new owner for ginger because i'm going outstation next week",904b74dde,1.0,0,images/904b74dde-1.jpg
1,Ababa,2,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,Puppy looking for home. Commitment to spay is compulsory. If u are intetested to adopt pls contact Rachel,b7a55f716,1.0,0,images/b7a55f716-1.jpg
2,Baby Kittens,1,282,283,3,1,4,0,1,3,2,2,2,1,4,0,41326,1b5c94c2261ab119ed445acdd2c8fed6,0,"Saya perlukan adopters untuk 4 ekor anak kucing yang saya bela sekarang. Saya akan bela and mandulkan ibu anak kucing ini yang saya selalu bagi makan semasa dia mengandung dulu since mak kucing tidak bertuan. Saya akan bela seekor anak kucing dan mahu yang lain ada tuan yang baru yang boleh bagi mereka tempat tinggal, makanan, dah kasih sayang. Saya sendiri adalah pencinta kucing tapi saya tinggal di rumah flat dan masalah tempat yang sempit dan masih lagi belajar membuatkan saya bercadang untuk anak kucing ini diadopt. mak kucing berbulu panjang, 3 ekor anak berbulu panjang and lagi 2 ekor bulu biasa. Yang itam saya ambik, the rest are open for adoption. ibu kucing yang berbulu panjang and ekor 'tupai'. Free delivery area Lembah Klang and berdekatan",293061205,4.0,0,images/293061205-1.jpg
2,Baby,4,265,0,2,2,3,7,2,2,2,2,2,1,1,0,41326,8d68ae8de1a80215d49648e4be42ee9d,0,Playful..adorable..kindness...love eating Well Toilet trained He needs an adorable owners too,4f04b1556,3.0,0,images/4f04b1556-1.jpg
2,Popette,1,266,303,2,1,2,0,2,1,2,1,2,1,1,0,41326,d1e1453dada02f864f4b1ac125813848,0,A good baby girl. To be spayed when old enough.,75a11e0f8,3.0,0,images/75a11e0f8-1.jpg
1,Dior ( Schnauzer),60,195,195,2,1,7,0,1,2,1,1,2,1,1,100,41401,eba68472a648e066204509ffe1667c82,0,Very healthy dog. We want to give away because we will be leaving soon.,3ce528284,1.0,0,images/3ce528284-1.jpg
1,Snowy,6,195,0,2,1,7,0,1,3,1,1,2,1,1,0,41401,79309f4027f2fedb4349a298c69fe56f,0,ooooo,4d163b731,1.0,0,images/4d163b731-1.jpg
1,Tiger,48,82,0,1,1,2,7,2,1,1,1,1,2,1,0,41326,920d8cc91447e6c6b7c817b399b760ce,0,"Hi my name is Tiger! But my name is not synonymous with my character. I am by far on of the most gentle, docile and loving dogs you would have ever met in your life. My idea of a perfect day is lazing in the afternoons, cuddling with my loved ones and playing with my pet kitten. YES, I have a pet kitten. I was abandoned a long time ago by someone who didn't want me. That really hurt my feelings. I spent some time in a halfway house and then I was adopted by a gentleman who loved me very much and I him. We had good times together, I made him laugh so many times and he put a smile in my heart too. But times are not easy. I am up for adoption again because my owner wants the best for me. You see, because of my genetics I am prone to skin problems. I require frequent veterinary care, specialised food and loads of TLC. I need a home that can give me all this and more. As much as my owner loves me and wants me to be with him, he is struggling to afford my medical bills and keep a close eye on my skin. Please contact if you or anyone you know can give me the home I need....",f5e496f46,5.0,0,images/f5e496f46-1.jpg
2,Mimi ;D,3,285,285,2,1,6,7,2,3,2,2,2,1,1,0,41342,29930547d35fcfcbd25a633358b8aded,0,Friendly cat!!,356f1ecfb,3.0,0,images/356f1ecfb-1.jpg
1,Puppies For Adoption,2,307,0,2,1,2,7,1,1,2,2,2,1,2,0,41326,fadd2748eac6fa3eea5481362cc430e9,0,"2 female puppies about 1 month+ old are looking for adoption. Found them under the electric box. I hope someone who able to adopt one of them or both of them. If you are interested in adopting puppies, pls consider one or both of them, please contact Justin Hau David Teng Location : Alam Impian, Shah Alam",966aaf6e2,5.0,0,images/966aaf6e2-1.jpg
1,Puppy,2,307,0,2,3,4,0,2,2,2,2,2,1,1,0,41326,9e21e5dfa2bdaa786893c980648f5c67,0,"This is the puppy I met in a shop house in Klang, he/she is alone without the mother. Anyone could give him a home and tons of love??",da5295aaf,2.0,0,images/da5295aaf-1.jpg
1,Yorkshire Terrier,24,240,0,1,1,2,0,1,1,3,3,3,1,1,0,41401,3e178ffde0f5453a0f198dec79a11b8e,0,"I'm posting on behalf of original owner. I DO NOT KNOW the original owner but I know that if dog is not adopted he's going to be dumped at Pudu market so please help. Original owner's name is Benny phone number or . Address at Salak South, KL. I'll try and attach original posting here.",fe2757847,1.0,0,images/fe2757847-1.jpg
1,Basset Hound,12,19,0,1,1,2,7,1,1,3,3,3,2,1,0,41332,0d635cb75d7c48b2da9fa0e47390b3aa,0,"SEREMBAN AREA -Found injure beside Jalan Mantin,opposite Tmn Chap Yik,near Petronas and bukit mika.Spotted on 6/2/11 night. -No collar Kindly contact",6d6bb4a66,3.0,0,images/6d6bb4a66-1.jpg
2,Lucky,1,282,0,1,1,2,7,2,2,2,2,2,2,1,0,41326,979f1fed655fe1ab41e7d2a6fce4853b,0,This little kid was just adopted by a kind soul. Thank you :),4657ae5ac,3.0,0,images/4657ae5ac-1.jpg
1,Coffee,32,179,0,2,2,0,0,1,1,1,1,1,1,1,500,41326,15b00b3891a2a4008eb9286380f23b14,0,..busy for work...looking a good owner for coffee. contact us,a93eb0d6f,3.0,0,images/a93eb0d6f-1.jpg
2,Nelly,2,266,0,2,1,2,7,2,1,2,2,2,1,2,0,41326,2922723f8889855551615e8d22f1e0b4,0,"Stray kittens from a tame mama stray cat who gave birth to them in our office factory. Looking for a sincere cat owner who wants to have a cat companion(s) who will love it and care for it. :) They were born on 19th Aug. Characteristics of the kittens: White, Ginger, Black (F) - sweet and gentle.",fe5ed81fd,3.0,0,images/fe5ed81fd-1.jpg
1,W8,1,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,ed30f663e,2.0,0,images/ed30f663e-1.jpg
1,Wei Wei,14,307,0,1,2,0,0,3,2,1,1,1,1,1,0,41336,aa309eca97b65cd0a3d8bff4827e1905,0,Very well taken care dog,e7e1904f4,3.0,0,images/e7e1904f4-1.jpg
2,Kiko,17,282,0,2,4,6,7,3,3,1,1,2,1,1,500,41401,4e0597386fe3231eddf92a5280250308,0,Really love kiko. She's very adorable n manja..,74c161846,3.0,0,images/74c161846-1.jpg
2,Kit Kat ( Formerly Grey Lite ),6,266,0,2,1,6,7,1,1,3,1,1,1,1,0,41401,90569c3f7cb0af35cba5dac82c0ac9d7,0,"Pets + Strays, Healthy Lifestyle as Fosterer : * BLESSed with a lady adopter - her human ANGEL * Presumably BLESSing the home like what ANGELs normally do * In this picture dated 11-Feb-15 she is shown accompanied by her Guardian Dog ANGEL This baby cat grew up well after MALNOURISHED mother's ordeal with help from : ___ To review, promote, endorse your product or services : 1. Like & REGULARLY check Pets + Strays 2. Whatsapp to register your interest NOW",b1f31ab87,2.0,0,images/b1f31ab87-1.jpg
1,Delete This Folder,2,307,307,2,1,2,7,2,1,3,3,2,1,5,0,41326,90191b06d602e8d45b4ce25dd22c6a3e,0,pls delete this folder,7ebe13a93,0.0,0,images/7ebe13a93-1.jpg
2,O,4,265,0,1,3,0,0,1,2,2,1,2,1,1,0,41326,a5e9f5ec3cbea93ada433c3af8ffa6c0,0,"This is O for Orange, he is 4-6 months old. He & B are brothers and looking for adopters also. O is little fat than his brother because he eats every 10minutes. He also plays around with his brother. However, he need attention, love and care from you. Please adopt him, thank you.",a29dba165,6.0,0,images/a29dba165-1.jpg
2,Jerry,10,292,285,1,5,7,0,3,2,2,2,3,1,1,0,41326,80d4438db6978bc8ee848f62625151a5,0,A siamese cat . Very lovable and loves to play . Food - any brand will do (must be ocean fish) The cat have been given vitamins . Came from huge breeder . Giving it away to those who can take a good care of the cat . Please email me or message me if you're serious to adopt the cat,2e989d559,3.0,0,images/2e989d559-1.jpg
1,Save ME Or I'll Die #45,2,307,0,3,1,2,0,2,1,3,3,3,2,2,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,"PLEASE RESCUE/ADOPT ME FROM KLANG POUND OR I WILL BE PUT TO DEATH BY THIS WEEK, 28/3/10. I don't want to die,and I will love you immensely for saving me. Help!!! Please call ----------------------------------------------------- Adoption Procedure: This dog has been caught by Majlis Perbandaran Klang, and if nobody comes forward to adopt it, it will be euthanized within a few days. Even owned dogs are also often caught, and the owners are not aware for it. Those wishing to adopt this pet from Klang Dog Pound, please follow the procedures below: 1. Drive to Pusat Kurungan Haiwan Lebuh Sultan Muhammad Kawasan Perindustrian Bandar Sultan Sulaiman Pelabuhan Klang Tel : (For Sat & Sun, opening hours are 8am - 12pm) 2. Secure a Borang Permohonan Tuntutan Anjing, Selepas Tempoh 7 hari. Complete it & ensure it is endorsed by the relevant officier & stamped with relevant chop. 3. Provide a photostated copy of your Identification Card or Passport with each application * policies & requirements stiffen day by day * Advisable to provide a copy of IC/Passport per application (Just in case) * Secure extra application if there is any inkling of additional adoption. * Don't expect any leniency (Even we committee members, slaves & beggars don't have any unless OK by big guy) 4. Please be compassionate. Put yourself in their shoes: locked inside knowing its over. THEY DO KNOW. 5. I have seen them wasted much close to D days. Don't tell me they didn't undergo heightened enxiety & despair in anticipation of the end. What's worse their owners never came for them. Directions to Klang Dog Pound ================================ 1) Use Kesas Highway 2) Head for North Port till you see the signboard that writes ""Melbourne 14 Days"", then turn Right 3) Keep Left and turn Left at traffic light 4) Stay beside flyover and turn Right at immediate traffic light 5) Drive towards Sultan Sulaiman Industrial Estate 6) Go up first set of flyover 7) Keep Left till you see Pusat Kurungan Haiwan signboard 8) Turn Left 9) Drive on till you see gravel road work beside retention pond at the right 10) Turn in and turn Right till you reach a blue-roofed pound",ce19e69ff,2.0,0,images/ce19e69ff-1.jpg
2,3 Male 1 Female For Adoption,2,266,247,3,2,6,7,1,1,2,2,2,1,4,0,41336,3efa10684ab66aecdb5e468cf025c4db,0,All was born in our home on 28th August . They are actually an half mixed marble cat. Litter train since small. They are all fun and loving cute little kittens. Wish responsible cat owners to substitute us with tender loving care.,979710375,2.0,0,images/979710375-1.jpg
